Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,42500.0,14875.0,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,52500.0,15750.0,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000,65000.0,16250.0,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250,75000.0,37500.0,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,55000.00000000001,16500.000000000004,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,46250.0,16187.5,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050,68250.0,17062.5,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275,76500.0,38250.0,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,56375.00000000001,16912.500000000004,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,47500.0,16625.0,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,55500.0,16650.0,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100,71500.0,17875.0,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250,75000.0,37500.0,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,56375.00000000001,16912.500000000004,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,47500.0,16625.0,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,46250.0,16187.5,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075,69875.0,17468.75,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200,72000.0,36000.0,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,55000.00000000001,16500.000000000004,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,46250.0,16187.5,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000,65000.0,16250.0,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,56875.0,17062.5,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000,70000.0,17500.0,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150,74750.0,37375.0,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975,53625.00000000001,16087.500000000004,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920,50600.00000000001,17710.0,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,49500.00000000001,17325.0,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,56875.0,17062.5,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,68250.0,17062.5,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200,78000.0,39000.0,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,55000.00000000001,16500.000000000004,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950,52250.00000000001,18287.5,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,49500.00000000001,17325.0,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,58500.0,17550.0,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000,70000.0,17500.0,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,22500.0,7875.0,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,31500.0,11025.0,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,24500.0,8575.0,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,24500.0,11025.0,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,22000.0,6600.0,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,24500.0,12250.0,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,21250.0,7437.5,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,29750.0,10412.5,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,23625.0,8268.75,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,21875.0,9843.75,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,20000.0,6000.0,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,24500.0,12250.0,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,26250.0,9187.5,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,35000.0,12249.999999999998,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,24500.0,8575.0,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,24000.0,10800.0,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,22500.0,6750.0,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,26000.0,13000.0,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,27000.0,9450.0,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,36000.0,12599.999999999998,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,25375.0,8881.25,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,25000.0,11250.0,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,23625.0,7087.5,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,32000.0,16000.0,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,27750.0,9712.5,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,37000.0,12949.999999999998,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,27125.0,9493.75,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,28000.0,12600.0,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,27000.0,8100.0,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,38000.0,19000.0,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,38000.0,13300.0,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14962.5,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,32000.0,11200.0,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,30000.0,13500.0,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000,50000.0,25000.0,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,38000.0,13300.0,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14962.5,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100,44000.0,15400.0,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,28000.0,12600.0,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,31500.0,9450.0,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,48750.0,24375.0,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,37000.0,12949.999999999998,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,41625.0,14568.75,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100,44000.0,15400.0,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,26000.0,11700.0,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,45000.0,22500.0,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,38250.0,13387.5,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,38250.0,13387.5,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,45000.0,15750.0,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,31250.0,14062.5,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,28125.0,8437.5,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.00000000000001,850,46750.00000000001,23375.000000000004,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,36000.0,12599.999999999998,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,36000.0,12599.999999999998,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,37500.0,13125.0,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,30000.0,13500.0,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,25875.0,7762.5,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.00000000000001,750,41250.00000000001,20625.000000000004,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,40500.0,14175.0,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,40500.0,14175.0,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,41250.0,14437.5,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,33750.0,15187.5,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.00000000000001,850,46750.00000000001,23375.000000000004,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,42750.0,14962.5,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14962.5,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,42500.0,14875.0,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,35000.0,15750.0,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.00000000000001,900,49500.00000000001,24750.000000000004,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,31000.0,10850.000000000002,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,38750.0,7750.0,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,38750.0,13562.5,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,31250.0,9375.0,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.00000000000001,575,31625.000000000004,15812.500000000004,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,38750.0,5812.500000000001,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,33000.0,11550.000000000002,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,36250.0,7250.0,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,36250.0,12687.500000000002,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,28750.0,8625.0,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.00000000000001,500,27500.000000000004,13750.000000000004,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,35000.0,5250.000000000001,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,42500.0,14875.0,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,42000.0,8400.0,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,42000.0,14700.0,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,36000.0,10800.0,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,32500.0,16250.0,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,42000.0,6300.000000000001,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,52500.0,18375.000000000004,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,43875.0,8775.0,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,47125.0,16493.750000000004,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,37500.0,11250.0,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,34125.0,17062.5,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,56000.0,8400.000000000002,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,54000.0,21600.0,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,48750.0,12187.5,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,48750.0,19500.0,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,39000.0,13650.0,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,35750.0,19662.500000000004,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,58000.0,11600.0,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,58500.0,23400.0,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,53625.0,13406.25,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,53625.0,21450.0,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,42000.0,14700.0,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,37375.0,20556.250000000004,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,70000.0,14000.0,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,1025,61500.0,21525.000000000004,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,56875.0,11375.0,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,53625.0,18768.750000000004,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,43500.0,13050.0,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,50375.0,25187.5,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775,62000.0,9300.000000000002,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975,63375.0,22181.250000000004,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925,64750.0,12950.0,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800,52000.0,18200.000000000004,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750,48750.0,14625.0,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750,56250.0,28125.0,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725,58000.0,8700.000000000002,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,50875.00000000001,15262.500000000004,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,55500.00000000001,8325.000000000002,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,42625.00000000001,12787.500000000004,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,39875.00000000001,9968.75,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725,47125.0,21206.250000000004,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775,54250.0,5425.0,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,48125.00000000001,14437.500000000004,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,52500.00000000001,7875.000000000002,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,38500.00000000001,11550.000000000004,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,37125.00000000001,9281.25,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650,42250.0,19012.500000000004,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700,49000.0,4900.0,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,48125.00000000001,14437.500000000004,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,52500.00000000001,7875.000000000002,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,39875.00000000001,11962.500000000004,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,38500.00000000001,9625.0,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,650,42250.0,19012.500000000004,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,775,54250.0,5425.0,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.00000000000001,975,53625.00000000001,16087.500000000005,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,975,58500.00000000001,8775.000000000002,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,42625.00000000001,12787.500000000004,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,775,42625.00000000001,10656.25,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,700,45500.0,20475.000000000004,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,800,56000.0,5600.0,Outlet
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700,24500.0,9800.0,Outlet
Kohl's,1189833,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.0,700,31500.0,7875.0,Outlet
Kohl's,1189833,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.0,700,31500.0,12600.0,Outlet
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.0,550,24750.0,8662.5,Outlet
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,50.0,500,25000.0,13750.0,Outlet
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,45.0,700,31500.0,6300.0,Outlet
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35.0,750,26250.0,10500.0,Outlet
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,29250.0,7312.5,Outlet
Kohl's,1189833,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45.0,675,30375.0,12150.0,Outlet
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,525,23625.0,8268.75,Outlet
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,50.0,450,22500.0,12375.000000000002,Outlet
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,45.0,650,29250.0,5850.0,Outlet
Kohl's,1189833,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35.0,800,28000.0,11200.0,Outlet
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,29250.0,7312.5,Outlet
Kohl's,1189833,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45.0,650,29250.0,11700.0,Outlet
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45.0,550,24750.0,8662.5,Outlet
Kohl's,1189833,2021-03-23,West,California,Los Angeles,Men's Apparel,50.0,425,21250.0,11687.500000000002,Outlet
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,45.0,625,28125.0,5625.0,Outlet
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,45.0,800,36000.0,14400.0,Outlet
